Step,Setup Time,Solve Time,Time Per Iteration,Total Time,Newton Cycles,Newton Times
35,0.00022840000000000002,3.4400000000000004,0.18105263157894738,2.701,7,0.0|0.0|0.11|1.65|0.0|0.14|0.19|0.0|0.13|0.18|0.0|0.15|0.2|0.0|0.14|0.2|0.0|0.15|0.2
36,0.0002448,3.4200000000000004,0.18000000000000002,2.677,7,0.0|0.0|0.11|1.67|0.0|0.14|0.2|0.0|0.13|0.18|0.0|0.12|0.18|0.0|0.14|0.19|0.0|0.15|0.21
37,0.00023500000000000002,3.3900000000000006,0.17842105263157898,2.654,7,0.0|0.0|0.11|1.65|0.0|0.14|0.19|0.0|0.13|0.18|0.0|0.12|0.18|0.0|0.14|0.2|0.0|0.15|0.2
38,0.000742,3.3100000000000005,0.1742105263157895,2.625,7,0.0|0.0|0.11|1.65|0.0|0.14|0.19|0.0|0.12|0.18|0.0|0.12|0.17|0.0|0.12|0.18|0.0|0.14|0.19
39,0.000716,3.45,0.18157894736842106,2.691,7,0.0|0.0|0.11|1.65|0.0|0.14|0.19|0.0|0.13|0.19|0.0|0.14|0.2|0.0|0.15|0.2|0.0|0.15|0.2
40,0.0028712,3.4800000000000004,0.18315789473684213,2.765,7,0.0|0.0|0.12|1.68|0.0|0.14|0.2|0.0|0.13|0.19|0.0|0.13|0.18|0.0|0.14|0.2|0.0|0.16|0.21
41,0.0035821000000000004,3.6100000000000003,0.19000000000000003,2.794,7,0.0|0.0|0.11|1.68|0.0|0.19|0.26|0.0|0.14|0.2|0.0|0.13|0.19|0.0|0.15|0.2|0.0|0.15|0.21
42,0.0016535000000000002,3.4600000000000004,0.18210526315789477,2.694,7,0.0|0.0|0.11|1.65|0.0|0.14|0.2|0.0|0.13|0.18|0.0|0.15|0.2|0.0|0.15|0.2|0.0|0.15|0.2
43,0.0014177,3.4000000000000004,0.17894736842105266,2.668,7,0.0|0.0|0.11|1.66|0.0|0.13|0.19|0.0|0.12|0.18|0.0|0.13|0.18|0.0|0.14|0.2|0.0|0.15|0.21
44,0.0018753,3.4600000000000004,0.18210526315789477,2.699,7,0.0|0.0|0.11|1.66|0.0|0.14|0.19|0.0|0.13|0.18|0.0|0.15|0.2|0.0|0.15|0.2|0.0|0.15|0.2
45,0.0002172,3.300000000000001,0.17368421052631586,2.636,7,0.0|0.0|0.11|1.65|0.0|0.13|0.18|0.0|0.12|0.18|0.0|0.12|0.17|0.0|0.12|0.18|0.0|0.14|0.2
46,0.0009952,3.4100000000000006,0.17947368421052634,2.667,7,0.0|0.0|0.11|1.66|0.0|0.14|0.19|0.0|0.13|0.18|0.0|0.13|0.18|0.0|0.14|0.2|0.0|0.15|0.2
47,0.0040067,3.3000000000000003,0.1736842105263158,2.618,7,0.0|0.0|0.11|1.65|0.0|0.14|0.19|0.0|0.13|0.19|0.0|0.12|0.18|0.0|0.12|0.18|0.0|0.12|0.17
48,0.0028794,3.45,0.18157894736842106,2.692,7,0.0|0.0|0.11|1.65|0.0|0.14|0.19|0.0|0.14|0.19|0.0|0.13|0.18|0.0|0.15|0.2|0.0|0.16|0.21
49,0.0007925999999999999,3.39,0.17842105263157895,2.652,7,0.0|0.0|0.11|1.66|0.0|0.13|0.19|0.0|0.13|0.18|0.0|0.12|0.18|0.0|0.14|0.19|0.0|0.15|0.21
50,0.0030158000000000003,3.4500000000000006,0.1815789473684211,2.706,7,0.0|0.0|0.11|1.66|0.0|0.14|0.19|0.0|0.13|0.19|0.0|0.14|0.2|0.0|0.15|0.2|0.0|0.14|0.2
